句子,句型,人工判断
《地球往事三部曲》全集<三体三部曲>【实体书精校版】,未知句型,对
作者：刘慈欣,未知句型,对
三体,未知句型,对
序,未知句型,对
“基石”是个平实的词,肯定句,
不够“炫”,否定句,
却能够准确传达我们对构建中的中国科幻繁华巨厦的情感与信心,未知句型,对
因此,未知句型,对
我们用它来作为这套原创丛书的名字,未知句型,对
最近十年,未知句型,对
是科幻创作飞速发展的十年,肯定句,
王晋康、刘慈欣、何宏伟、韩松等一大批科幻作家发表了大量深受读者喜爱、极具开拓与探索价值的科幻佳作,未知句型,对
科幻文学的龙头期刊更是从一本传统的《科幻世界》,肯定句,对
发展壮大成为涵盖各个读者层的系列刊物,未知句型,对
与此同时,未知句型,对
科幻文学的市场环境也有了改善,未知句型,对
省会级城市的大型书店里终于有了属于科幻的领地,未知句型,对
仍然有人经常问及中国科幻与美国科幻的差距,未知句型,对
但现在的答案已与十年前不同,否定句,
在很多作品上 (它们不再是那种毫无文学技巧与色彩、想象力拘谨的幼稚故事),肯定句,对
这种比较已经变成了人家的牛排之于我们的土豆牛肉,未知句型,对
差距是明显的——更准确地说,肯定句,对
应该是“差别”——却已经无法再为它们排个名次,肯定句,错
口味问题有了实际意义,未知句型,对
这正是我们的科幻走向成熟的标志,肯定句,对
与美国科幻的差距,未知句型,对
实际上是市场化程度的差距,肯定句,对
美国科幻从期刊到图书到影视再到游戏和玩具,未知句型,对
已经形成了一条完整的产业链,未知句型,对
动力十足,未知句型,对
而我们的图书出版却仍然处于这样一种局面：读者的阅读需求不能满足的同时,否定句,
出版者却感叹于科幻书那区区几千册的销量,未知句型,对
结果,未知句型,对
我们基本上只有为热爱而创作的科幻作家,未知句型,对
鲜有为版税而创作的科幻作家,未知句型,对
这不是有责任心的出版人所乐于看到的现状,肯定句,错
科幻世界作为我国最有影响力的专业科幻出版机构,未知句型,对
一直致力于对中国科幻的全方位推动,未知句型,对
科幻图书出版是其中的重点之一,肯定句,对
中国科幻需要长远眼光,未知句型,对
需要一种务实精神,未知句型,
需要引入更市场化的手段,未知句型,
因而我们着眼于远景,未知句型,
而着手之处则在于一块块“基石”,未知句型,
需要特别说明的是,肯定句,对
对于基石,未知句型,
我们并没有什么限定,否定句,
因为,未知句型,
要建一座大厦需要各种各样的石料,未知句型,
对于那样一座大厦,未知句型,
我们满怀期待,未知句型,
《三体》终于能与科幻朋友们见面了,未知句型,
用连载的方式事先谁都没有想到,否定句,
也是无奈之举,肯定句,对
之前就题材问题与编辑们仔细商讨过,未知句型,
感觉没有什么问题,否定句,
但没想到今年是文革三十周年这事儿,肯定句,对
单行本一时出不了,否定句,
也只能这样了,未知句型,
其实这本书不是文革题材的,肯定句,错
文革内容在其中只占不到十分之一,否定句,
但却是一个漂荡在故事中挥之不去的精神幽灵,肯定句,对
本书虽不是《球状闪电》的续集,肯定句,错
但可以看做那个故事所发生的世界在其后的延续,肯定句,对
那个物理学家在故事中出现但已不重要,否定句,
其他的人则永远消失了,未知句型,
林云真的死了,未知句型,
虽然我有时在想,未知句型,
如果她活下来,未知句型,
最后是不是这个主人公的样子,肯定句,错
这是一个暂名为《地球往事》的系列的第一部,肯定句,对
可以看做一个更长的故事的开始,肯定句,
这是一个关于背叛的故事,肯定句,
也是一个生存与死亡的故事,肯定句,
有时候,未知句型,
比起生存还是死亡来,肯定句,
忠诚与背叛可能更是一个问题,肯定句,
疯狂与偏执,未知句型,
最终将在人类文明的内部异化出怎样的力量,未知句型,
冷酷的星空将如何拷问心中道德,未知句型,
作者试图讲述一部在光年尺度上重新演绎的中国现代史,未知句型,
讲述一个文明二百次毁灭与重生的传奇,未知句型,
朋友们将会看到,未知句型,
连载的这第一期,未知句型,
几乎不是科幻,肯定句,
但这本书并不是这一期显示出来的这个样子,肯定句,
它不是现实科幻,肯定句,
比《球状闪电》更空灵,未知句型,
希望您能耐心地看下去,未知句型,
后面的故事变化会很大,未知句型,
在以后的一段时光中,未知句型,
读者朋友们将走过我在过去的一年中走过的精神历程,未知句型,
坦率地说,未知句型,
我不知道你们将在这条黑暗诡异的迷途上看到什么,否定句,
我很不安,否定句,
但科幻写到今天,未知句型,
能够与大家同行这么长一段,未知句型,
也是缘份,肯定句,
1.科学边界,未知句型,
汪淼觉得,未知句型,
来找他的这四个人是一个奇怪的组合：两名警察和两名军人,肯定句,
如果那两个军人是武警还算正常,肯定句,
但这是两名陆军军官,肯定句,
汪淼第一眼就对来找他的警察没有好感,否定句,
其实那名穿警服的年轻人还行,未知句型,
举止很有礼貌,未知句型,
但那位便衣就让人讨厌了,未知句型,
这人长得五大三粗,未知句型,
一脸横肉,未知句型,
穿着件脏兮兮的皮夹克,未知句型,
浑身烟味,未知句型,
说话粗声大嗓,未知句型,
是最令汪淼反感的那类人,肯定句,
“汪淼,未知句型,
”那人问,未知句型,
直呼其名令汪淼很不舒服,否定句,
况且那人同时还在点烟,未知句型,
头都不抬一下,否定句,
不等汪淼回答,否定句,
他就向旁边那位年轻人示意了一下,未知句型,
后者向汪淼出示了警官证,未知句型,
他点完烟后就直接向屋里闯,未知句型,
“请不要在我家里抽烟,否定句,
”汪淼拦住了他,未知句型,
“哦,未知句型,
对不起,否定句,
汪教授,未知句型,
这是我们史强队长,肯定句,
”年轻警官微笑着说,未知句型,
同时对姓史的使了个眼色,未知句型,
“成,未知句型,
那就在楼道里说吧,未知句型,
”史强说着,未知句型,
深深地吸了一大口,未知句型,
手中的烟几乎燃下去一半,未知句型,
之后竟不见吐出烟来,否定句,
“你问,未知句型,
”他又向年轻警官偏了一下头,未知句型,
“汪教授,未知句型,
我们是想了解一下,肯定句,
最近你与‘科学边界’学会的成员有过接触,未知句型,
是吧,肯定句,
”,未知句型,
